id,Repository,Address,Description,Stars,Language,Updated,other
122,opendigg/awesome-github-vue,https://github.com/opendigg/awesome-github-vue,Vue相关开源项目库汇总,10.6k,-,05/07,
123,chuzhixin/vue-admin-beautiful-pro,https://github.com/chuzhixin/vue-admin-beautiful-pro,🚀🚀🚀vue3、vue3.0、vue、vue3.x、vue.js、vue后台管理、admin、vue-admin、vue-element-admin、ant-design、vue-admin-beautiful-pro、vab admin pro、vab admin plus主线版本基于element-plus、element-ui、ant-design-vue三者并行开发维护、同时支持电脑、手机、平板、切换分支查看不同的vue版本、element-plus版本已发布(vue3、vue3.0、vue、vue3.x、vue.js,10.6k,Vue,10/16,
124,sparanoid/chinese-copywriting-guidelines,https://github.com/sparanoid/chinese-copywriting-guidelines,Chinese copywriting guidelines for better written communication／中文文案排版指北,10.5k,-,10/03,
125,apachecn/apachecn-algo-zh,https://github.com/apachecn/apachecn-algo-zh,ApacheCN 数据结构与算法译文集,10.5k,JavaScript,05/09,
126,NLP-LOVE/ML-NLP,https://github.com/NLP-LOVE/ML-NLP,此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。,10.4k,Jupyter Notebook,06/26,
127,itdevbooks/pdf,https://github.com/itdevbooks/pdf,编程电子书，电子书，编程书籍，包括C，C#，Docker，Elasticsearch，Git，Hadoop，HeadFirst，Java，Javascript，jvm，Kafka，Linux，Maven，MongoDB，MyBatis，MySQL，Netty，Nginx，Python，RabbitMQ，Redis，Scala，Solr，Spark，Spring，SpringBoot，SpringCloud，TCPIP，Tomcat，Zookeeper，人工智能，大数据类，并发编程，数据库类，数据挖掘，新面试题，架构设计，算法系列，计算机类，设计模式，软件测试，重构优化，等更多分类,10.3k,-,10/09,
128,cuiocean/ZY-Player,https://github.com/cuiocean/ZY-Player,▶️ 跨平台桌面端视频资源播放器.简洁无广告.免费高颜值. 🎞,10.3k,Vue,10/13,
129,imarvinle/awesome-cs-books,https://github.com/imarvinle/awesome-cs-books,经典编程书籍大全，涵盖：计算机系统与网络、系统架构、算法与数据结构、前端开发、后端开发、移动开发、数据库、测试、项目与团队、程序员职业修炼、求职面试等,10.2k,-,10/26,
130,yifeikong/reverse-interview-zh,https://github.com/yifeikong/reverse-interview-zh,技术面试最后反问面试官的话,9.5k,-,10/13,
131,hackstoic/golang-open-source-projects,https://github.com/hackstoic/golang-open-source-projects,为互联网IT人打造的中文版awesome-go,9.2k,-,05/13,
